,species,infraspecificEpithet,class,iucnRedListCategory,kingdom,sex,phylum,specificEpithet,vernacularName,genericName,family,datasetName,higherClassification,subgenus,organismName
2215,Muellerella lichenicola,,Muellerella lichenicola,Muellerella lichenicola,Muellerella lichenicola,,Muellerella lichenicola,lichenicola,,Muellerella lichenicola,Muellerella lichenicola,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Muellerella lichenicola,,
2216,Toninia populorum,,Toninia populorum,Toninia populorum,Toninia populorum,,Toninia populorum,populorum,,Arthrosporum,Toninia populorum,Toninia populorum,,,
2217,Caloplaca lactea,,Caloplaca lactea,Caloplaca lactea,Caloplaca lactea,,Caloplaca lactea,Caloplaca lactea,,Caloplaca lactea,Caloplaca lactea,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Caloplaca lactea,,
2218,Usnea hirta,,Usnea hirta,Usnea hirta,Usnea hirta,,Usnea hirta,hirta,Usnea hirta,Usnea,Usnea hirta,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecanorales|Parmeliaceae|Parmelioideae|Usnea,,
2219,Varicellaria lactea,,Varicellaria lactea,Varicellaria lactea,Varicellaria lactea,,Varicellaria lactea,Varicellaria lactea,,Pertusaria,Varicellaria lactea,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Varicellaria lactea,,
2220,Thalloidima opuntioides,,Thalloidima opuntioides,Thalloidima opuntioides,Thalloidima opuntioides,,Thalloidima opuntioides,Thalloidima opuntioides,,Toninia,Thalloidima opuntioides,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2221,Cladonia pocillum,Cladonia pocillum,Cladonia pocillum,Cladonia pocillum,Cladonia pocillum,,Cladonia pocillum,pocillum,,Cladonia,Cladonia pocillum,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,"Fungi, Ascomycota, Lecanoromycetes, Lecanorales, Cladoniaceae",,
2222,Acarospora cervina,,Acarospora cervina,Acarospora cervina,Acarospora cervina,,Acarospora cervina,Acarospora cervina,,Acarospora cervina,Acarospora cervina,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2223,Xanthoparmelia camtschadalis,,Xanthoparmelia camtschadalis,Xanthoparmelia camtschadalis,Xanthoparmelia camtschadalis,,Xanthoparmelia camtschadalis,Xanthoparmelia camtschadalis,,Xanthoparmelia camtschadalis,Xanthoparmelia camtschadalis,Xanthoparmelia camtschadalis,,,
2224,Dirina monothalamia,Dirina monothalamia,Dirina monothalamia,,Dirina monothalamia,,Dirina monothalamia,paradoxa,,Dirina monothalamia,Dirina monothalamia,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2225,Bacidia arceutina,,Bacidia arceutina,Bacidia arceutina,Bacidia arceutina,,Bacidia arceutina,Bacidia arceutina,,Bacidia arceutina,Bacidia arceutina,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,"Fungi, Ascomycota, Lecanoromycetes, Lecanorales, Ramalinaceae",,
2226,Athallia alnetorum,,Athallia alnetorum,Athallia alnetorum,Athallia alnetorum,,Athallia alnetorum,Athallia alnetorum,,Caloplaca,Athallia alnetorum,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2227,Bagliettoa marmorea,,Bagliettoa marmorea,Bagliettoa marmorea,Bagliettoa marmorea,,Bagliettoa marmorea,Bagliettoa marmorea,,Verrucaria,Bagliettoa marmorea,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Organism|Fungi|Dikarya|Ascomycota|Pezizomycotina|Eurotiomycetes|Chaetothyriomycetidae|Pyrenulales,,
2228,Psora vallesiaca,,Psora vallesiaca,Psora vallesiaca,Psora vallesiaca,,Psora vallesiaca,Psora vallesiaca,,Psora vallesiaca,Psora vallesiaca,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Psora vallesiaca,,
2229,Heteroplacidium contumescens,,Heteroplacidium contumescens,Heteroplacidium contumescens,Heteroplacidium contumescens,,Heteroplacidium contumescens,Heteroplacidium contumescens,,Heteroplacidium,Heteroplacidium contumescens,Heteroplacidium contumescens,,,
2230,Lathagrium auriforme,,Lathagrium auriforme,Lathagrium auriforme,Lathagrium auriforme,,Lathagrium auriforme,auriforme,,Collema,Lathagrium auriforme,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Peltigerales|Collematineae|Collemataceae|Collema,,
2231,Pseudosagedia aenea,,Pseudosagedia aenea,Pseudosagedia aenea,Pseudosagedia aenea,,Pseudosagedia aenea,Pseudosagedia aenea,,Porina,Pseudosagedia aenea,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Pseudosagedia aenea,,
2232,Myriolecis crenulata,,Myriolecis crenulata,Myriolecis crenulata,Myriolecis crenulata,,Myriolecis crenulata,Myriolecis crenulata,,Lecanora,Myriolecis crenulata,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,"Fungi, Ascomycota, Lecanoromycetes, Lecanorales, Lecanoraceae",,
2233,Montagnea arenaria,,Montagnea arenaria,Montagnea arenaria,Montagnea arenaria,,Montagnea arenaria,Montagnea arenaria,,Montagnea arenaria,Montagnea arenaria,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Montagnea arenaria,,
2234,Gloeophyllum abietinum,,Gloeophyllum abietinum,Gloeophyllum abietinum,Gloeophyllum abietinum,,Gloeophyllum abietinum,Gloeophyllum abietinum,,Gloeophyllum abietinum,Gloeophyllum abietinum,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Gloeophyllum abietinum,,
2235,Tetramelas concinnus,,Tetramelas concinnus,Tetramelas concinnus,Tetramelas concinnus,,Tetramelas concinnus,Tetramelas concinnus,,Tetramelas concinnus,Tetramelas concinnus,Tetramelas concinnus,,,
2236,Caloplaca ameliensis,,Caloplaca ameliensis,Caloplaca ameliensis,Caloplaca ameliensis,,Caloplaca ameliensis,Caloplaca ameliensis,,Caloplaca ameliensis,Caloplaca ameliensis,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,"Fungi, Ascomycota, Lecanoromycetes, Teloschistales, Teloschistaceae",,
2237,Psora saviczii,,Psora saviczii,Psora saviczii,Psora saviczii,,Psora saviczii,Psora saviczii,,Psora,Psora saviczii,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecanorales|Psoraceae|Psora,,
2238,Flavoplaca granulosa,,Flavoplaca granulosa,Flavoplaca granulosa,Flavoplaca granulosa,,Flavoplaca granulosa,granulosa,,Caloplaca,Flavoplaca granulosa,Flavoplaca granulosa,,,
2239,Acarospora heufleriana,Acarospora heufleriana,Acarospora heufleriana,Acarospora heufleriana,Acarospora heufleriana,,Acarospora heufleriana,heufleriana,,Acarospora heufleriana,Acarospora heufleriana,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Acarosporomycetidae|Acarosporales|Acarosporaceae|Acarospora,,
2240,Arthonia albopulverea,,Arthonia albopulverea,Arthonia albopulverea,Arthonia albopulverea,,Arthonia albopulverea,Arthonia albopulverea,,Arthonia albopulverea,Arthonia albopulverea,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Arthonia albopulverea,,
2241,Calogaya schistidii,,Calogaya schistidii,Calogaya schistidii,Calogaya schistidii,,Calogaya schistidii,Calogaya schistidii,,Fulgensia,Calogaya schistidii,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2242,Caloplaca pyracea,,Caloplaca pyracea,Caloplaca pyracea,Caloplaca pyracea,,Caloplaca pyracea,Caloplaca pyracea,,Caloplaca pyracea,Caloplaca pyracea,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2243,Buellia sequax,,Buellia sequax,Buellia sequax,Buellia sequax,,Buellia sequax,sequax,,Buellia sequax,Buellia sequax,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Buellia sequax,,
2244,Rinodinella dubyanoides,,Rinodinella dubyanoides,Rinodinella dubyanoides,Rinodinella dubyanoides,,Rinodinella dubyanoides,Rinodinella dubyanoides,,Rinodinella dubyanoides,Rinodinella dubyanoides,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2245,Hysterium pulicare,,Hysterium pulicare,Hysterium pulicare,Hysterium pulicare,,Hysterium pulicare,Hysterium pulicare,Hysterium pulicare,Hysterium pulicare,Hysterium pulicare,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2246,Hebeloma populinum,,Hebeloma populinum,Hebeloma populinum,Hebeloma populinum,,Hebeloma populinum,Hebeloma populinum,,Hebeloma populinum,Hebeloma populinum,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2247,Russula puellaris,,Russula puellaris,Russula puellaris,Russula puellaris,,Russula puellaris,Russula puellaris,,Russula puellaris,Russula puellaris,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Russula puellaris,,
2248,Flavoplaca navasiana,,Flavoplaca navasiana,Flavoplaca navasiana,Flavoplaca navasiana,,Flavoplaca navasiana,Flavoplaca navasiana,,Flavoplaca navasiana,Flavoplaca navasiana,Flavoplaca navasiana,,,
2249,Catapyrenium rufescens,Catapyrenium rufescens,Catapyrenium rufescens,Catapyrenium rufescens,Catapyrenium rufescens,,Catapyrenium rufescens,rufescens,,Catapyrenium,Catapyrenium rufescens,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2250,Lecanora pulicaris,,Lecanora pulicaris,Lecanora pulicaris,Lecanora pulicaris,,Lecanora pulicaris,Lecanora pulicaris,,Lecanora pulicaris,Lecanora pulicaris,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Plantae|Lichenes|Lecanorales|Lichenes-Lecanoraceae,,
2251,Opegrapha celtidicola,,Opegrapha celtidicola,Opegrapha celtidicola,Opegrapha celtidicola,,Opegrapha celtidicola,celtidicola,,Opegrapha celtidicola,Opegrapha celtidicola,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,"Fungi, Ascomycota, Arthoniomycetes, Arthoniales, Opegraphaceae",,
2252,Thelenella modesta,,Thelenella modesta,Thelenella modesta,Thelenella modesta,,Thelenella modesta,Thelenella modesta,,Thelenella,Thelenella modesta,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,"Fungi, Ascomycota, Lecanoromycetes, Ostropales, Thelenellaceae",,
2253,Anema nummularium,,Anema nummularium,Anema nummularium,Anema nummularium,,Anema nummularium,notarisii,,Anema,Anema nummularium,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lichinomycetes|Lichinales|Lichinaceae|Anema,,
2254,Opegrapha atra,,Opegrapha atra,Opegrapha atra,Opegrapha atra,,Opegrapha atra,Opegrapha atra,,Opegrapha atra,Opegrapha atra,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2255,Bacidia beckhausii,,Bacidia beckhausii,Bacidia beckhausii,Bacidia beckhausii,,Bacidia beckhausii,Bacidia beckhausii,,Bacidia beckhausii,Bacidia beckhausii,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2256,Dendrographa decolorans,,Dendrographa decolorans,Dendrographa decolorans,Dendrographa decolorans,,Dendrographa decolorans,decolorans,,Schismatomma,Dendrographa decolorans,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Fungi|Dikarya|Ascomycota|Pezizomycotina|Arthoniomycetes|Arthoniomycetidae|Arthoniales|Arthoniaceae|Arthonia,,
2257,Lecanora hybocarpa,,Lecanora hybocarpa,Lecanora hybocarpa,Lecanora hybocarpa,,Lecanora hybocarpa,Lecanora hybocarpa,,Lecanora hybocarpa,Lecanora hybocarpa,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Lecanora hybocarpa,,
2258,Opeltia flavorubescens,,Opeltia flavorubescens,Opeltia flavorubescens,Opeltia flavorubescens,,Opeltia flavorubescens,flavorubescens,,Caloplaca,Opeltia flavorubescens,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Teloschistales|Teloschistineae|Teloschistaceae|Caloplacoideae|Gyalolechia,,
2259,Lactarius mediterraneensis,Lactarius mediterraneensis,Lactarius mediterraneensis,Lactarius mediterraneensis,Lactarius mediterraneensis,,Lactarius mediterraneensis,Lactarius mediterraneensis,,Lactarius mediterraneensis,Lactarius mediterraneensis,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Lactarius mediterraneensis,,
2260,Arthonia melanophthalma,,Arthonia melanophthalma,Arthonia melanophthalma,Arthonia melanophthalma,,Arthonia melanophthalma,Arthonia melanophthalma,,Arthonia melanophthalma,Arthonia melanophthalma,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Arthonia melanophthalma,,
2261,Lactarius tesquorum,,Lactarius tesquorum,Lactarius tesquorum,Lactarius tesquorum,,Lactarius tesquorum,Lactarius tesquorum,,Lactarius tesquorum,Lactarius tesquorum,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2262,Bactrospora patellarioides,,Bactrospora patellarioides,Bactrospora patellarioides,Bactrospora patellarioides,,Bactrospora patellarioides,Bactrospora patellarioides,,Bactrospora,Bactrospora patellarioides,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Fungi|Dikarya|Ascomycota|Pezizomycotina|Arthoniomycetes|Arthoniomycetidae|Arthoniales|Roccellaceae|Lecanactis,,
2263,Flavoplaca polycarpa,,Flavoplaca polycarpa,Flavoplaca polycarpa,Flavoplaca polycarpa,,Flavoplaca polycarpa,polycarpa,,Caloplaca,Flavoplaca polycarpa,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Flavoplaca polycarpa,,
2264,Trapeliopsis flexuosa,,Trapeliopsis flexuosa,Trapeliopsis flexuosa,Trapeliopsis flexuosa,,Trapeliopsis flexuosa,flexuosa,Trapeliopsis flexuosa,Trapeliopsis,Trapeliopsis flexuosa,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Ascomycota; Agyriaceae,,
2265,Umbilicaria nylanderiana,,Umbilicaria nylanderiana,Umbilicaria nylanderiana,Umbilicaria nylanderiana,,Umbilicaria nylanderiana,Umbilicaria nylanderiana,,Umbilicaria nylanderiana,Umbilicaria nylanderiana,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Umbilicaria nylanderiana,,
2266,Anema prodigulum,,Anema prodigulum,Anema prodigulum,Anema prodigulum,,Anema prodigulum,Anema prodigulum,,Anema prodigulum,Anema prodigulum,Anema prodigulum,,,
2267,Neopetractis luetkemuelleri,,Neopetractis luetkemuelleri,Neopetractis luetkemuelleri,Neopetractis luetkemuelleri,,Neopetractis luetkemuelleri,Neopetractis luetkemuelleri,,Neopetractis luetkemuelleri,Neopetractis luetkemuelleri,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2268,Peltigera polydactylon,,Peltigera polydactylon,Peltigera polydactylon,Peltigera polydactylon,,Peltigera polydactylon,Peltigera polydactylon,,Peltigera polydactylon,Peltigera polydactylon,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Peltigerales|Peltigerineae|Peltigeraceae|Peltigeroideae|Peltigera|Peltigera polydactylon,,
2269,Pyrenodesmia alociza,,Pyrenodesmia alociza,Pyrenodesmia alociza,Pyrenodesmia alociza,,Pyrenodesmia alociza,alociza,,Caloplaca,Pyrenodesmia alociza,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2270,Pyrenodesmia chalybaea,Pyrenodesmia chalybaea,Pyrenodesmia chalybaea,Pyrenodesmia chalybaea,Pyrenodesmia chalybaea,,Pyrenodesmia chalybaea,chalybaea,,Caloplaca,Pyrenodesmia chalybaea,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2271,Xanthocarpia marmorata,,Xanthocarpia marmorata,Xanthocarpia marmorata,Xanthocarpia marmorata,,Xanthocarpia marmorata,Xanthocarpia marmorata,,Xanthocarpia marmorata,Xanthocarpia marmorata,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2272,Lecanora conizaeoides,,Lecanora conizaeoides,Lecanora conizaeoides,Lecanora conizaeoides,,Lecanora conizaeoides,Lecanora conizaeoides,,Lecanora conizaeoides,Lecanora conizaeoides,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2273,Lecanora salicicola,,Lecanora salicicola,Lecanora salicicola,Lecanora salicicola,,Lecanora salicicola,Lecanora salicicola,,Lecanora salicicola,Lecanora salicicola,Lecanora salicicola,,,
2274,Porpidia cinereoatra,,Porpidia cinereoatra,Porpidia cinereoatra,Porpidia cinereoatra,,Porpidia cinereoatra,cinereoatra,,Porpidia,Porpidia cinereoatra,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Porpidia cinereoatra,,
2275,Buellia disciformis,Buellia disciformis,Buellia disciformis,Buellia disciformis,Buellia disciformis,,Buellia disciformis,Buellia disciformis,,Buellia disciformis,Buellia disciformis,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Caliciales|Caliciaceae|Buellia,,
2276,Buellia sardiniensis,,Buellia sardiniensis,Buellia sardiniensis,Buellia sardiniensis,,Buellia sardiniensis,sardiniensis,,Buellia sardiniensis,Buellia sardiniensis,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2277,Caloplaca obscurella,,Caloplaca obscurella,Caloplaca obscurella,Caloplaca obscurella,,Caloplaca obscurella,obscurella,,Caloplaca obscurella,Caloplaca obscurella,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Fungi|Caloplaca|sarcopisoides,,
2278,Psathyrella corrugis,,Psathyrella corrugis,Psathyrella corrugis,Psathyrella corrugis,,Psathyrella corrugis,gracilis,,Psathyrella,Psathyrella corrugis,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Psathyrella corrugis,,
2279,Calonarius quercilicis,Calonarius quercilicis,Calonarius quercilicis,Calonarius quercilicis,Calonarius quercilicis,,Calonarius quercilicis,quercilicis,,Calonarius quercilicis,Calonarius quercilicis,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2280,Geopora clausa,Geopora clausa,Geopora clausa,Geopora clausa,Geopora clausa,,Geopora clausa,Geopora clausa,,Hydnocystis,Geopora clausa,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Fungi|Ascomycota|Pezizomycotina|Pezizomycetes|Pezizomycetidae|Pezizales|Pyronemataceae|Geopora,,
2281,Tricholoma striatum,,Tricholoma striatum,Tricholoma striatum,Tricholoma striatum,,Tricholoma striatum,Tricholoma striatum,,Tricholoma striatum,Tricholoma striatum,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2282,Dacrymyces stillatus,,Dacrymyces stillatus,Dacrymyces stillatus,Dacrymyces stillatus,,Dacrymyces stillatus,stillatus,,Dacrymyces stillatus,Dacrymyces stillatus,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Dacrymyces stillatus,,
2283,Polyozosia hagenii,Polyozosia hagenii,Polyozosia hagenii,Polyozosia hagenii,Polyozosia hagenii,,Polyozosia hagenii,hagenii,,Lecanora,Polyozosia hagenii,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecanorales|Lecanoraceae|Lecanora,,
2284,Toniniopsis aromatica,,Toniniopsis aromatica,Toniniopsis aromatica,Toniniopsis aromatica,,Toniniopsis aromatica,aromatica,,Toninia,Toniniopsis aromatica,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Fungi|Toninia|pelophila,,
2285,Bagliettoa baldensis,,Bagliettoa baldensis,Bagliettoa baldensis,Bagliettoa baldensis,,Bagliettoa baldensis,Bagliettoa baldensis,,Verrucaria,Bagliettoa baldensis,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2286,Mycena pilosella,,Mycena pilosella,Mycena pilosella,Mycena pilosella,,Mycena pilosella,Mycena pilosella,,Mycena pilosella,Mycena pilosella,Mycena pilosella,,,
2287,Inocybe godeyi,,Inocybe godeyi,Inocybe godeyi,Inocybe godeyi,,Inocybe godeyi,Inocybe godeyi,Inocybe godeyi,Inocybe,Inocybe godeyi,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Inocybe godeyi,,
2288,Limacella furnacea,,Limacella furnacea,Limacella furnacea,Limacella furnacea,,Limacella furnacea,Limacella furnacea,,Limacella,Limacella furnacea,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2289,Pholiota lucifera,,Pholiota lucifera,Pholiota lucifera,Pholiota lucifera,,Pholiota lucifera,Pholiota lucifera,,Pholiota lucifera,Pholiota lucifera,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Pholiota lucifera,,
2290,Marcelleina benkertii,,Marcelleina benkertii,Marcelleina benkertii,Marcelleina benkertii,,Marcelleina benkertii,Marcelleina benkertii,,Marcelleina benkertii,Marcelleina benkertii,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2291,Leucocoprinus flos-sulphuris,,Leucocoprinus flos-sulphuris,Leucocoprinus flos-sulphuris,Leucocoprinus flos-sulphuris,,Leucocoprinus flos-sulphuris,Leucocoprinus flos-sulphuris,,Leucocoprinus flos-sulphuris,Leucocoprinus flos-sulphuris,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2292,Collema tenax,,Collema tenax,Collema tenax,Collema tenax,,Collema tenax,Collema tenax,,Collema tenax,Collema tenax,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2293,Blastenia crenularia,festiva,Blastenia crenularia,Blastenia crenularia,Blastenia crenularia,,Blastenia crenularia,crenularia,,Caloplaca,Blastenia crenularia,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Plantae|Lichenes|Teloschistales|Lichenes-Teloschistaceae,,
2294,Scytinium plicatile,,Scytinium plicatile,Scytinium plicatile,Scytinium plicatile,,Scytinium plicatile,Scytinium plicatile,,Leptogium,Scytinium plicatile,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2295,Bacidia fraxinea,,Bacidia fraxinea,Bacidia fraxinea,Bacidia fraxinea,,Bacidia fraxinea,fraxinea,,Bacidia fraxinea,Bacidia fraxinea,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2296,Calogaya arnoldii,,Calogaya arnoldii,Calogaya arnoldii,Calogaya arnoldii,,Calogaya arnoldii,Calogaya arnoldii,,Caloplaca,Calogaya arnoldii,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2297,Mischoblastia vezdae,,Mischoblastia vezdae,Mischoblastia vezdae,Mischoblastia vezdae,,Mischoblastia vezdae,Mischoblastia vezdae,,Mischoblastia vezdae,Mischoblastia vezdae,Mischoblastia vezdae,,,
2298,Lecidea sarcogynoides,,Lecidea sarcogynoides,Lecidea sarcogynoides,Lecidea sarcogynoides,,Lecidea sarcogynoides,Lecidea sarcogynoides,,Lecidea sarcogynoides,Lecidea sarcogynoides,Lecidea sarcogynoides,,,
2299,Rhizocarpon polycarpum,,Rhizocarpon polycarpum,Rhizocarpon polycarpum,Rhizocarpon polycarpum,,Rhizocarpon polycarpum,Rhizocarpon polycarpum,,Rhizocarpon polycarpum,Rhizocarpon polycarpum,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Fungi|Rhizocarpon|polycarpum,,
2300,Psorotichia schaereri,,Psorotichia schaereri,Psorotichia schaereri,Psorotichia schaereri,,Psorotichia schaereri,Psorotichia schaereri,,Psorotichia schaereri,Psorotichia schaereri,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2301,Thelignya lignyota,,Thelignya lignyota,Thelignya lignyota,Thelignya lignyota,,Thelignya lignyota,Thelignya lignyota,,Thelignya lignyota,Thelignya lignyota,Thelignya lignyota,,,
2302,Peltula omphaliza,,Peltula omphaliza,Peltula omphaliza,Peltula omphaliza,,Peltula omphaliza,Peltula omphaliza,,Peltula omphaliza,Peltula omphaliza,Peltula omphaliza,,,
2303,Caloplaca marina,,Caloplaca marina,Caloplaca marina,Caloplaca marina,,Caloplaca marina,Caloplaca marina,,Caloplaca marina,Caloplaca marina,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,"Fungi, Ascomycota, Lecanoromycetes, Teloschistales, Teloschistaceae",,
2304,Aspiciliella intermutans,,Aspiciliella intermutans,Aspiciliella intermutans,Aspiciliella intermutans,,Aspiciliella intermutans,Aspiciliella intermutans,,Aspicilia,Aspiciliella intermutans,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Ostropomycetidae|Pertusariales|Megasporaceae|Aspicilia,,
2305,Lecanora intumescens,,Lecanora intumescens,Lecanora intumescens,Lecanora intumescens,,Lecanora intumescens,Lecanora intumescens,,Lecanora intumescens,Lecanora intumescens,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,"Fungi, Ascomycota, Lecanoromycetes, Lecanorales, Lecanoraceae",,
2306,Scoliciosporum umbrinum,compacta,Scoliciosporum umbrinum,Scoliciosporum umbrinum,Scoliciosporum umbrinum,,Scoliciosporum umbrinum,umbrinum,,Scoliciosporum,Scoliciosporum umbrinum,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Ascomycota; Scoliciosporaceae,,
2307,Rinodina colobina,,Rinodina colobina,Rinodina colobina,Rinodina colobina,,Rinodina colobina,colobina,,Rinodina,Rinodina colobina,Rinodina colobina,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Caliciales|Physciaceae|Rinodina,,
2308,Fulgensia poeltii,,Fulgensia poeltii,Fulgensia poeltii,Fulgensia poeltii,,Fulgensia poeltii,Fulgensia poeltii,,Fulgensia poeltii,Fulgensia poeltii,Fulgensia poeltii,Fulgensia poeltii,,
2309,Alyxoria varia,,Alyxoria varia,Alyxoria varia,Alyxoria varia,,Alyxoria varia,varia,,Opegrapha,Alyxoria varia,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,"Fungi, Ascomycota, Arthoniomycetes, Arthoniales, Opegraphaceae",,
2310,Cortinarius rickenii,,Cortinarius rickenii,Cortinarius rickenii,Cortinarius rickenii,,Cortinarius rickenii,Cortinarius rickenii,,Cortinarius rickenii,Cortinarius rickenii,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2311,Ramaria gracilis,,Ramaria gracilis,Ramaria gracilis,Ramaria gracilis,,Ramaria gracilis,Ramaria gracilis,,Ramaria,Ramaria gracilis,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Ramaria gracilis,,
2312,Xerocomellus persicolor,,Xerocomellus persicolor,Xerocomellus persicolor,Xerocomellus persicolor,,Xerocomellus persicolor,Xerocomellus persicolor,,Xerocomus,Xerocomellus persicolor,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
2313,Puccinia cesatii,,Puccinia cesatii,Puccinia cesatii,Puccinia cesatii,,Puccinia cesatii,Puccinia cesatii,,Puccinia cesatii,Puccinia cesatii,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Puccinia cesatii,,
2314,Endohyalina kalbii,,Endohyalina kalbii,Endohyalina kalbii,Endohyalina kalbii,,Endohyalina kalbii,Endohyalina kalbii,,Rinodina,Endohyalina kalbii,Endohyalina kalbii,,,
