Scleroderma polyrhizum
Lobaria pulmonaria
Hypholoma fasciculare
Helvella levis
Clathrus ruber
Suillus granulatus
Cladonia foliacea
Diploschistes actinostomus
Gymnopilus penetrans
Daldinia concentrica
Lentinus tigrinus
Neoboletus luridiformis
Hygrophorus glutinifer
Amanita muscaria
Lobothallia radiosa
Parmotrema perlatum
Physconia enteroxantha
Parmelia sulcata
Hygrophorus marzuolus
Russula pectinatoides
Astraeus hygrometricus
Floccularia luteovirens
Lepiota elseae
Cladonia rangiformis
Melanohalea exasperata
Cantharellus amethysteus
Lentinus arcularius
Pseudoclitocybe cyathiformis
Lycoperdon perlatum
Pleurotus eryngii
Trametes versicolor
Amanita rubescens
Suillus bellinii
Marasmius collinus
Neoboletus erythropus
Lactarius pubescens
Spinellus fusiger
Bovista plumbea
Uromyces striatus
Geastrum campestre
Galerina marginata
Gomphidius roseus
Clathrus archeri
Psilocybe semilanceata
Physcia adscendens
Phaeolus schweinitzii
Lactarius deliciosus
Amanita citrina
Coprinellus disseminatus
Macrolepiota procera
Crucibulum laeve
Pseudaleuria fibrillosa
Parasola conopilea
Leucopaxillus cerealis
Laccaria laccata
Niorma chrysophthalma
Hygrophorus discoxanthus
Laurobasidium lauri
Paxillus involutus
Exobasidium japonicum
Naematelia aurantia
Hydnum repandum
Lepista personata
Phragmidium violaceum
Sparassis brevipes
Boletus reticulatus
Lycoperdon molle
Ricasolia amplissima
Coprinus comatus
Cladonia pyxidata
Peltigera membranacea
Lycoperdon echinatum
Eutypa spinosa
Amanita phalloides
Clitocybe vibecina
Rhizocarpon geographicum
Solorina saccata
Calocera viscosa
Russula adusta
Lepiota subincarnata
Lanmaoa fragrans
Amanita verna
Lactifluus volemus
Melanelixia glabra
Laetiporus sulphureus
Exobasidium rhododendri
Hygrocybe conica
Armillaria gallica
Mutinus elegans
Daedaleopsis confragosa
Echinoderma asperum
Lactarius aurantiacus
Botryosphaeria dothidea
Parmelina tiliacea
Groenewaldozyma salmanticensis
Diaporthe neotheicola
Aspergillus calidoustus
Fusarium oxysporum
Austroafricana parva
Monilinia laxa
Calonarius splendidior
Diaporthe pseudophoenicicola
Parmelia serrana
Diaporthe foeniculacea
Parmelina atricha
Tuber aestivum
Amycosphaerella africana
Hebeloma cylindrosporum
Dactylonectria estremocensis
Schenella pityophila
Neofusicoccum australe
Diploschistes scruposus
Rhizoctonia solani
Colletotrichum karsti
Cortinarius haasii
Physconia subpulverulenta
Beauveria bassiana
Neohelicomyces pallidus
Phoma herbarum
Ramaria flavescens
Rhizophagus custos
Scedosporium dehoogii
Butyriboletus pseudoregius
Geosmithia lavendula
Tuber excavatum
Slopeiomyces cylindrosporus
Xanthoparmelia mougeotii
Hydnum albidum
Penicillium oxalicum
Colletotrichum acutatum
Melanohalea elegantula
Mycoblastus sanguinarius
Tuber oligospermum
Sporobolomyces roseus
Martinjahnsia resendei
Tubariomyces inexpectatus
Boletus erythropus
Lactarius semisanguifluus
Mucor plumbeus
Neofusicoccum mediterraneum
Tricholoma caligatum
Ilyonectria liriodendri
Dactylonectria pauciseptata
Hydnum ovoideisporum
Collophorina hispanica
Monilinia linhartiana
Lepraria santosii
Cryphonectria naterciae
Agaricus crocodilinus
Suillus mediterraneensis
Teratosphaeria molleriana
Tuber maculatum
Hyphoderma macaronesicum
Agaricus indistinctus
Rhizopogon roseolus
Tuber melanosporum
Calvatia fragilis
Lichtheimia ramosa
Agaricus heinemannianus
Diplodia seriata
Cladonia firma
Lepiota coloratipes
Umbilicaria iberica
Hypotrachyna endochlora
Readeriella dimorphospora
Diaporthe eres
Calycina herbarum
Parmotrema pseudoreticulatum
Scedosporium boydii
Dactylonectria torresensis
Cladonia humilis
Parmotrema reticulatum
Zymoseptoria tritici
Spencermartinsia viticola
Metacordyceps chlamydosporia
Alternaria penicillata
Mycosphaerella nubilosa
Rhizopus arrhizus
Glomerella cingulata
Pyrenophora leucospermi
Diaporthe cotoneastri
Plagiostoma fraxini
Pseudeurotium bakeri
Cladonia subturgida
Monosporascus cannonballus
Mazzantia angelicae
Flavopunctelia flaventior
Tuber malenconii
Xanthoria ectaneoides
Fusarium temperatum
Keratinophyton punsolae
Mycosarcoma maydis
Armillaria mellea
Amanita vittadinii
Bovistella utriformis
Clitocybe nebularis
Polycauliona polycarpa
Phallus impudicus
Auricularia mesenterica
Laetisaria lichenicola
Lathagrium fuscovirens
Sparassis crispa
Panaeolus papilionaceus
Lactarius pyrogalus
Cortinarius violaceus
Sarcoscypha coccinea
Agrocybe pediades
Sticta canariensis
Hygrophoropsis aurantiaca
Chalciporus piperatus
Lactarius quietus
Helvella lacunosa
Amanita caesarea
Gyromitra infula
Amanita gemmata
Lactarius hysginus
Clavulina rugosa
Craterellus lutescens
Cordyceps militaris
Hygrophorus limacinus
Entoloma sinuatum
Placynthium nigrum
Mucidula mucida
Suillus collinitus
Chrysothrix candelaris
Coprinopsis nivea
Aleuria aurantia
Boletus edulis
Calvatia cyathiformis
Peltigera praetextata
Amanita torrendii
Craterellus tubaeformis
Cyathus striatus
Exidia thuretiana
Infundibulicybe meridionalis
Fistulina hepatica
Rubroboletus satanas
Phlegmacium caligatum
Lobarina scrobiculata
Amanita excelsa
Lycoperdon pratense
Schizophyllum amplum
Ochrolechia parella
Pisolithus tinctorius
Parmotrema hypoleucinum
Suillus variegatus
Phlebia tremellosa
Hypomyces tubariicola
Strobilomyces strobilaceus
Terana coerulea
Taphrina deformans
Coprinellus micaceus
Suillus luteus
Ramalina canariensis
Pleurosticta acetabulum
Ramalina fraxinea
Lenzites betulinus
Mycena meliigena
Lenzitopsis oxycedri
Boeremia hedericola
Boletus pinophilus
Mycena rosea
Baeospora myosura
Laccaria amethystina
Lactarius salmonicolor
Sarcoscypha macaronesica
Cyanoboletus pulverulentus
Fomes fomentarius
Clitocybe odora
Fuscopannaria mediterranea
Cerrena unicolor
Coprinopsis picacea
Verpa conica
Tricholoma scalpturatum
Porodaedalea pini
Panus conchatus
Phaeotremella foliacea
Dimelaena oreina
Pannaria rubiginosa
Pectenia atlantica
Lecanora argentata
Pectenia plumbea
Poeltonia venusta
Pseudocyphellaria aurata
Verrucaria glaucina
Leptogium burgessii
Gloeoheppia erosa
Diploschistes caesioplumbeus
Pertusaria pertusa
Gyalolechia fulgida
Glaucomaria rupicola
Pseudocyphellaria intricata
Gyalidea hyalinescens
Diploschistes muscorum
Sticta limbata
Enchylium tenax
Pertusaria rupicola
Sticta fuliginosa
Umbilicaria spodochroa
Dirina massiliensis
Flavoparmelia caperata
Gloeoheppia turgida
Spilonema paradoxum
Normandina pulchella
Mycena abramsii
Ochrolechia androgyna
Peccania cerebriformis
Myriospora smaragdula
Ramalina capitata
Syncesia myrticola
Teloschistes flavicans
Pannaria conoplea
Squamarina cartilaginea
Hypotrachyna laevigata
Lepra albescens
Cladonia squamosa
Ochrolechia alboflavescens
Thermutis velutina
Fuscopannaria nebulosa
Austroparmelina labrosa
Umbilicaria vellea
Leptochidium albociliatum
Emmanuelia patinifera
Collema furfuraceum
Ramalina dalmatica
Thelotrema lepadinum
Usnea strigosa
Montanelia sorediata
Nevesia sampaiana
Cladonia subcervicornis
Peltula euploca
Gyalolechia fulgens
Physcia aipolia
Parmelina carporrhizans
Toninia toepfferi
Leptogium azureum
Platismatia glauca
Ochrolechia pallescens
Glaucomaria sulphurea
Peltigera horizontalis
Brigantiaea fuscolutea
Umbilicaria crustulosa
Trapeliopsis wallrothii
Psora decipiens
Stereocaulon saxatile
Tornabea scutellifera
Squamarina lentigera
Lobaria meridionalis
Nephroma laevigatum
Collema subflaccidum
Dirina ceratoniae
Rinodina conradii
Vahliella leucophaea
Dolichousnea longissima
Parmeliella thysanota
Tapellaria epiphylla
Leucodermia leucomelos
Kuettlingeria erythrocarpa
Seirophora scorigena
Cetraria islandica
Ochrolechia subviridis
Physcia clementei
Diploicia subcanescens
Phaeographis dendritica
Opegrapha durieui
Platismatia norvegica
Coccocarpia erythroxyli
Parmotrema crinitum
Cladonia fimbriata
Diploschistes diacapsis
Physcia tribacia
Xanthoparmelia pulla
Trapelia involuta
Leptogium saturninum
Xalocoa ocellata
Ramalina fastigiata
Cladonia ochrochlora
Dictyonema interruptum
Verrucaria aethiobola
Peltula obscurans
Protopannaria pezizoides
Sclerococcum saxatile
Pseudocyphellaria crocata
Solenopsora vulturiensis
Ramalina breviuscula
Pterygiopsis canariensis
Trapelia coarctata
Circinaria calcarea
Parmotrema robustum
Anomalographis madeirensis
Abrothallus chrysanthus
Stereocaulon vesuvianum
Lichinella robusta
Ramalina subfarinacea
Gomphillus calycioides
Fuscopannaria ignobilis
Seirophora lacunosa
Roccella fuciformis
Lobaria immixta
Parmelia omphalodes
Protoparmelia badia
Icmadophila ericetorum
Thelidium hospitum
Lecanora sulphurata
Amandinea punctata
Pertusaria flavicans
Umbilicaria polyrrhiza
Lecanora albella
Diploschistella athalloides
Coccocarpia palmicola
Leptogium cyanescens
Collema nigrescens
Cladonia caespiticia
Leptogium minutissimum
Cladonia furcata
Placopsis gelida
Pyrenula pyrenuloides
Physcia stellaris
Ephebe lanata
Rhizocarpon malenconianum
Polyblastidium dendriticum
Hypotrachyna horrescens
Peltula lingulata
Caloplaca cerina
Diplotomma alboatrum
Peltigera collina
Leptogium teretiusculum
Pseudocyphellaria thouarsii
Roccellographa circumscripta
Anaptychia ciliaris
Sticta sylvatica
Physconia distorta
Lichinella stipatula
Tephromela atra
Lecanora polytropa
Ramalina maderensis
Usnea articulata
Ramalina inflata
Cladonia peziziformis
Nephroma bellum
Cladonia didyma
Stereocaulon pileatum
Thelopsis rubella
Diploschistes farinosus
Polychidium muscicola
Leprantha cinereopruinosa
Phlyctis agelaea
Pilophorus cereolus
Baeomyces rufus
Leproplaca chrysodeta
Ricasolia virens
Ramalina panizzii
Enterographa crassa
Acarospora schleicheri
Ramalina requienii
Xanthoparmelia conspersa
Acarospora nodulosa
Lecanora gangaleoides
Roccella phycopsis
Solenopsora holophaea
Parmeliella parvula
Umbilicaria hirsuta
Cladonia azorica
Acarospora placodiiformis
Diplotomma epipolium
Blennothallia crispa
Rhizocarpon viridiatrum
Lepraria crassissima
Vulpicida tilesii
Steinia geophana
Roccella boergesenii
Lecanora sienae
Diploschistes gypsaceus
Parmeliella testacea
Ochrolechia tartarea
Gyalolechia flavovirescens
Leptogium brebissonii
Opegrapha rupestris
Omphalodina chrysoleuca
Roccella canariensis
Xanthoria aureola
Omphalodium pisacomense
Variospora aurantia
Evernia divaricata
Cladonia subradiata
Physcia leptalea
Scytinium lichenoides
Sticta weigelii
Xanthoparmelia tinctina
Leptogium hildenbrandii
Cladonia rangiferina
Parmeliella thriptophylla
Gonohymenia cribellifera
Arthonia calcarea
Gloeoheppia rugosa
Parmelia saxatilis
Cladonia chlorophaea
Scytinium gelatinosum
Xanthoparmelia glabrans
Clauzadea immersa
Xanthoparmelia taractica
Dermatocarpon miniatum
Cladonia uncialis
Catillaria lenticularis
Acrocordia conoidea
Physoderma kriegeriana
Meliola maculans
Cortinarius olens
Russula roseipes
Gyalolechia canariensis
Russula fontqueri
Puccinia mesnieriana
Xeromphalina fraxinophila
Pseudodiplodia maderensis
Coccomyces coronatus
Bryocentria octosporelloides
Agrocybe amoena
Peltigera rufescens
Sphaerostilbella berkeleyana
Nephroma helveticum
Coniophora puteana
Discina melaleuca
Auricularia auricula-judae
Trametes ochracea
Myriostoma coliforme
Leratiomyces ceres
Naematelia encephala
Clavulinopsis corniculata
Puccinia malvacearum
Gliophorus psittacinus
Melanelixia subargentifera
Mycena inclinata
Chlorociboria aeruginascens
Glyphis cicatricosa
Panaeolus ater
Amanita franchetii
Helvella elastica
Ramariopsis kunzei
Imperator luteocupreus
Fuscoporia torulosa
Hypomyces lateritius
Tricholoma equestre
Amanita proxima
Suillus bovinus
Amanita ovoidea
Daedaleopsis tricolor
Hymenochaete rubiginosa
Suillus grevillei
Xanthoparmelia stenophylla
Lecania spadicea
Crinipellis subtomentosa
Lacrymaria lacrymabunda
Amanita battarrae
Hemileccinum impolitum
Ganoderma resinaceum
Agaricus bitorquis
Morchella importuna
Marasmius wynneae
Candelaria concolor
Daedalea quercina
Cytospora chrysosperma
Hypogymnia physodes
Russula sardonia
Tremella macrobasidiata
Gymnopus androsaceus
Hyperphyscia adglutinata
Tapinella atrotomentosa
Favolaschia claudopus
Kuettlingeria teicholyta
Panus neostrigosus
Infundibulicybe gibba
Cystoderma jasonis
Gomphidius glutinosus
Pyrrhospora quernea
Guepiniopsis buccina
Hygrophorus eburneus
Mitrula paludosa
Venturia inaequalis
Coleosporium tussilaginis
Armillaria ostoyae
Coltricia cinnamomea
Deconica coprophila
Geastrum meridionale
Aspergillus croceus
Hyphoderma paramacaronesicum
Schizopora paradoxa
Alternaria tellustris
Pluteus pseudoinsidiosus
Parmeliopsis hyperopta
Didymella glomerata
Trichoderma mediterraneum
Usnea subfloridana
Tulostoma simulans
Tulostoma lusitanicum
Cortinarius geraniolens
Morchella iberica
Ramalina tingitana
Tarzetta ochracea
Paratricharina poiraultii
Pluteus thomsonii
Picoa juniperi
Leucoagaricus variicolor
Dirina insulana
Cladonia cyathomorpha
Penicillium atrovenetum
Agaricus caballeroi
Pestalotiopsis portugallica
Acaulospora koskei
Coprinellus domesticus
Elaphomyces muricatus
Chroogomphus mediterraneus
Bryoria kuemmerleana
Bryoria fuscescens
Umbilicaria hispanica
Buellia zoharyi
Thalloidima albilabrum
Pseudocyphellaria lacerata
Lecanicillium dimorphum
Trichoderma afroharzianum
Leucoagaricus volvatus
Tricharina pallidisetosa
Penicillium camemberti
Hypotrachyna minarum
Flammulina velutipes
Reddellomyces westraliensis
Agaricus brunneolus
Xanthoparmelia perrugata
Dirina candida
Fusarium chlamydosporum
Morchella elata
Cladonia mediterranea
Lactarius atlanticus
Penicillium solitum
Chlorophyllum lusitanicum
Cyanosporus cyanescens
Phaeoclavulina ochracea
Ramalina decipiens
Xerocomellus cisalpinus
Punctelia perreticulata
Cladonia symphycarpa
Dirina canariensis
Tuber brumale
Ambispora granatensis
Cortinarius pseudofallax
Psathyrella flexispora
Cladonia cervicornis
Preussia lignicola
Hygrophorus ligatus
Pluteus vellingae
Descolea alba
Fusarium equiseti
Terfezia olbiensis
Tulostoma fimbriatum
Cladosporium cladosporioides
Entoloma phaeocarpum
Trichoderma balearicum
Acaulospora brasiliensis
Lichina pygmaea
Gliophorus irrigatus
Jaapia ochroleuca
Usnea rubicunda
Genea pseudobalsleyi
Cortinarius leucoscobinaceus
Apiospora montagnei
Penicillium hordei
Crepidotus subfulviceps
Terfezia fanfanii
Nephroma venosum
Terfezia claveryi
Lyomyces erastii
Rhizoplaca melanophthalma
Cladonia macroceras
Scedosporium aurantiacum
Morchella tridentina
Protoparmelia montagnei
Usnea cornuta
Galerina esteve-raventosii
Candida metapsilosis
Calonarius rapaceoides
Lecanographa atlantica
Morchella castaneae
Calonarius rapaceotomentosus
Ingvariella bispora
Terfezia canariensis
Dirina fallax
Purpureocillium lilacinum
Entoloma almeriense
Acaulospora lacunosa
Cortinarius ferrusinus
Phycomyces nitens
Psathyrella salina
Cystoagaricus populinus
Tricharina tophiseda
Corollospora maritima
Fusarium solani
Hypomyces rosellus
Tuber cistophilum
Brunneoporus juniperinus
Entoloma euchroum
Constantinomyces nebulosus
Phlegmacium mahiquesii
Pachyphloeus oleifer
Jimgerdemannia lactiflua
Naucoria decolorata
Gliophorus reginae
Parmotrema pseudotinctorum
Phaeoclavulina subdecurrens
Kluyveromyces lactis
Aspiciliella portosantana
Alpova pseudostipitatus
Russula laccata
Neoalpova montecchii
Didymosphaeria theae
Cortinarius iliceti
Parasola lactea
Amanita simulans
Amanita calida
Inocybe aurea
Coenogonium luteum
Physconia thorstenii
Cetraria muricata
Rhizoplaca parilis
Variospora dolomiticola
Saksenaea vasiformis
Gigaspora margarita
Biscogniauxia mediterranea
Cortinarius coracis
Tricharina gilva
Cortinarius spilomeus
Terfezia morenoi
Hodophilus phaeoxanthus
Aspergillus nidulans
Buellia spuria
Gyroporus pseudocyanescens
Alternaria tenuissima
Plectania melastoma
Gautieria morchelliformis
Poeltonia grisea
Mycena rhenana
Umbilicaria polyphylla
Cladonia conista
Tuber lacunosum
Dactylonectria macrodidyma
Morchella populiphila
Emmonsiellopsis coralliformis
Agaricus californicus
Cortinarius semudaphilus
Calonarius sancti-felicis
Dekkera bruxellensis
Stereum rugosum
Dendrodacrys ellipsosporum
Wardomycopsis humicola
Melanelixia fuliginosa
Pachyphlodes nemoralis
Cladonia gracilis
Russula praetervisa
Acaulospora laevis
Leucoagaricus viridariorum
Elaphomyces papillatus
Megalospora tuberculosa
Cladonia parasitica
Morchella disparilis
Phlegmacium luteocingulatum
Cladosporium herbarum
Tricholoma colossus
Biatora hertelii
Cortinarius badiolaevis
Parmelia barrenoae
Hebeloma plesiocistum
Plectania ericae
Hebeloma quercetorum
Ascosphaera apis
Cortinarius subexitiosus
Helicoarthrosporum mellicola
Hebeloma mesophaeum
Sclerotinia sclerotiorum
Tricharina striispora
Cortinarius decipiens
Hyphodermella corrugata
Aspergillus ardalensis
Agaricus pseudolutosus
Penicillium corylophilum
Acaulospora mellea
Russula nympharum
Ohleria modesta
Lecanosticta acicola
Thalloidima tauricum
Ruhlandiella reticulata
Pichia fermentans
