"(217, 'Agrocybe pediades', 3013984035, 2020.0, 12.0, 27.0, 'PT', 'Setúbal', 'Seixal', 'Amora', -9.134752, 38.591, 'Daniel Raposo')"
"(8, 'Amanita pantherina', 4137582349, 2018.0, 12.0, 25.0, 'PT', 'Setúbal', 'Alcácer do Sal', 'Torrão', -8.270722, 38.219964, 'Joao Tiago Tavares')","(57, 'Amanita pantherina', 3320925958, 2018.0, 11.0, 28.0, 'ES', 'Galicia', 'Pontevedra', 'n.a. (209)', -8.75727, 42.091511, 'jonatan_antunez')"
"(56, 'Astraeus hygrometricus', 3772983543, 2022.0, 4.0, 21.0, 'ES', 'Galicia', 'Lugo', 'n.a. (170)', -7.3494, 43.023658, 'cabengo')","(222, 'Astraeus hygrometricus', 4091568037, 2023.0, 4.0, 13.0, 'ES', 'Galicia', 'Pontevedra', 'n.a. (209)', -8.707729, 42.413334, 'Javier Calvo Vázquez')","(311, 'Astraeus hygrometricus', 3039308353, 2021.0, 2.0, 1.0, 'PT', 'Aveiro', 'Arouca', 'Moldes', -8.235343, 40.901263, 'Beatriz Machado')"
"(113, 'Schizophyllum commune', 3061777520, 2021.0, 3.0, 16.0, 'ES', 'Comunidad de Madrid', 'Madrid', 'n.a. (177)', -3.725184, 40.447078, 'deinonyco')","(227, 'Schizophyllum commune', 3044797026, 2021.0, 2.0, 23.0, 'PT', 'Faro', 'Tavira', 'Conceição', -7.607172, 37.177022, 'Nelson Conceição')","(231, 'Schizophyllum commune', 3112601779, 2021.0, 5.0, 6.0, 'PT', 'Évora', 'Montemor-o-Novo', 'Nossa Senhora Da Vila', -8.218778, 38.643604, 'Maxime Peyronnet')","(273, 'Schizophyllum commune', 3058941604, 2021.0, 3.0, 5.0, 'PT', 'Lisboa', 'Lisboa', 'Benfica', -9.193712, 38.747758, 'madalena_coutinho')"
"(2, 'Cyclocybe aegerita', 3947460901, 2022.0, 10.0, 2.0, 'ES', 'Comunidad de Madrid', 'Madrid', 'n.a. (177)', -3.681725, 40.449652, 'paulapan')","(26, 'Cyclocybe aegerita', 2988690438, 2020.0, 11.0, 15.0, 'PT', 'Santarém', 'Torres Novas', 'Brogueira', -8.532544, 39.407213, 'Josué Amoroso')","(50, 'Cyclocybe aegerita', 3337390409, 2020.0, 11.0, 1.0, 'ES', 'Andalucía', 'Cádiz', 'Campiña de Jerez', -5.904828, 36.64125, 'bioinigo')","(77, 'Cyclocybe aegerita', 3398671597, 2021.0, 5.0, 16.0, 'ES', 'Andalucía', 'Almería', 'n.a. (20)', -3.112494, 36.781862, 'faluke')","(159, 'Cyclocybe aegerita', 3985946219, 2022.0, 11.0, 27.0, 'ES', 'Castilla-La Mancha', 'Guadalajara', 'n.a. (122)', -3.089008, 40.684578, 'Sergio López Castelo')"
"(119, 'Macrolepiota procera', 2988581127, 2020.0, 11.0, 15.0, 'ES', 'Cataluña', 'Barcelona', 'n.a. (29)', 2.684583, 41.681145, 'jordi_pages')","(138, 'Macrolepiota procera', 3925167104, 2022.0, 10.0, 7.0, 'PT', 'Braga', 'Terras de Bouro', 'Campo Do Gerês', -8.082685, 41.796044, 'lzos')","(239, 'Macrolepiota procera', 3384138318, 2021.0, 9.0, 25.0, 'ES', 'Comunidad de Madrid', 'Madrid', 'n.a. (179)', -3.952182, 40.698, 'Javier Castrillo')","(275, 'Macrolepiota procera', 3947454971, 2022.0, 10.0, 18.0, 'ES', 'Principado de Asturias', 'Asturias', 'Oriente', -4.827565, 43.394633, 'Miguel A. Casado')","(293, 'Macrolepiota procera', 2988294223, 2020.0, 11.0, 15.0, 'ES', 'Comunidad de Madrid', 'Madrid', 'n.a. (177)', -3.81603, 40.701898, 'pedrosanz-anapri')","(314, 'Macrolepiota procera', 3415583991, 2021.0, 11.0, 14.0, 'PT', 'Aveiro', 'Arouca', 'Burgo', -8.247248, 40.9038, 'Avelino Vieira')"
"(29, 'Lobaria pulmonaria', 4112063129, 2023.0, 4.0, 12.0, 'ES', 'Comunidad Foral de Navarra', 'Navarra', 'n.a. (188)', -2.14445, 42.846325, 'ainhoagraciarena')","(71, 'Lobaria pulmonaria', 4011556558, 2011.0, 2.0, 17.0, 'ES', 'Islas Canarias', 'Santa Cruz de Tenerife', 'n.a. (144)', -16.62913, 28.291564, 'Juha Lindy')","(100, 'Lobaria pulmonaria', 4138045640, 2023.0, 6.0, 24.0, 'ES', 'Comunidad de Madrid', 'Madrid', 'n.a. (175)', -3.57851, 41.127658, 'Ángel Fernández Cancio')","(112, 'Lobaria pulmonaria', 4006614154, 2022.0, 12.0, 17.0, 'ES', 'Castilla-La Mancha', 'Toledo', 'n.a. (258)', -4.735928, 40.143651, 'Ibai Olariaga')","(122, 'Lobaria pulmonaria', 2465250069, 2016.0, 3.0, 25.0, 'PT', 'Coimbra', 'Penacova', 'Oliveira Do Mondego', -8.229083, 40.302185, 'Duarte Frade')","(143, 'Lobaria pulmonaria', 3966676345, 2022.0, 11.0, 9.0, 'PT', 'Viseu', 'Sátão', 'Sátão', -7.73212, 40.742357, 'Cristina Carvalho')","(167, 'Lobaria pulmonaria', 3923508657, 2022.0, 10.0, 4.0, 'ES', 'Aragón', 'Huesca', 'n.a. (132)', -0.709981, 42.8354, 'Ibai Olariaga')","(287, 'Lobaria pulmonaria', 3961473551, 2022.0, 11.0, 1.0, 'ES', 'Comunidad de Madrid', 'Madrid', 'n.a. (175)', -3.490979, 41.105058, 'Daniela Secas')"
"(45, 'Amanita muscaria', 4018274710, 2022.0, 11.0, 26.0, 'PT', 'Castelo Branco', 'Castelo Branco', 'Sarzedas', -7.608578, 39.845428, 'nunog22')","(55, 'Amanita muscaria', 1024217114, 2014.0, 8.0, 27.0, 'ES', 'Cataluña', 'Lleida', 'n.a. (162)', 1.777253, 42.427891, 'Carmelo López Abad')","(61, 'Amanita muscaria', 2901526232, 2020.0, 9.0, 30.0, 'ES', 'Principado de Asturias', 'Asturias', 'Oriente', -5.112752, 43.14965, 'kiksalinas-anapri')","(68, 'Amanita muscaria', 3923555386, 2022.0, 9.0, 27.0, 'ES', 'Cataluña', 'Lleida', 'n.a. (162)', 1.711036, 42.384055, 'bertogcliment')","(96, 'Amanita muscaria', 4096797373, 2020.0, 11.0, 22.0, 'ES', 'Galicia', 'A Coruña', 'n.a. (146)', -8.930571, 43.273483, 'David Gil')","(170, 'Amanita muscaria', 3986141118, 2022.0, 11.0, 4.0, 'PT', 'Viana do Castelo', 'Ponte da Barca', 'Germil', -8.263134, 41.784483, 'João Silva')","(198, 'Amanita muscaria', 2597855698, 2019.0, 10.0, 20.0, 'ES', 'Galicia', 'A Coruña', 'n.a. (145)', -9.093602, 42.825607, 'felipesendon')","(232, 'Amanita muscaria', 3966421323, 2022.0, 11.0, 14.0, 'ES', 'Extremadura', 'Cáceres', 'n.a. (71)', -5.671013, 40.153544, 'dexter290')","(278, 'Amanita muscaria', 3963455316, 2022.0, 11.0, 7.0, 'ES', 'Castilla-La Mancha', 'Guadalajara', 'n.a. (123)', -3.287747, 40.925608, 'Ángel Fernández Cancio')"
"(34, 'Clathrus ruber', 3785042206, 2022.0, 5.0, 16.0, 'PT', 'Lisboa', 'Lisboa', 'São Domingos De Benfica', -9.183397, 38.739333, 'Paula Ramos')","(59, 'Clathrus ruber', 3985937944, 2022.0, 11.0, 25.0, 'PT', 'Braga', 'Vieira do Minho', 'Vilar Do Chão', -8.084934, 41.625349, 'lzos')","(72, 'Clathrus ruber', 1677274505, 2016.0, 11.0, 21.0, 'PT', 'Leiria', 'Pombal', 'Pelariga', -8.581202, 39.942536, 'Hugo Gaspar')","(104, 'Clathrus ruber', 3892498725, 2022.0, 8.0, 11.0, 'PT', 'Santarém', 'Abrantes', 'Abrantes (São João)', -8.1946, 39.462732, 'Vicente Lourenço')","(129, 'Clathrus ruber', 3764119781, 2022.0, 4.0, 23.0, 'PT', 'Coimbra', 'Coimbra', 'Torres Do Mondego', -8.376313, 40.208733, 'Susana P. Cunha')","(133, 'Clathrus ruber', 3457099731, 2021.0, 11.0, 29.0, 'PT', 'Braga', 'Esposende', 'Palmeira De Faro', -8.740024, 41.541159, 'cath1366')","(223, 'Clathrus ruber', 4011634966, 2022.0, 12.0, 29.0, 'PT', 'Lisboa', 'Lisboa', 'São Domingos De Benfica', -9.179962, 38.738052, 'ruv321')","(266, 'Clathrus ruber', 3407924774, 2021.0, 10.0, 30.0, 'PT', 'Viana do Castelo', 'Viana do Castelo', 'Afife', -8.853549, 41.784431, 'exploreiberia')","(305, 'Clathrus ruber', 3061517011, 2021.0, 3.0, 14.0, 'PT', 'Lisboa', 'Lisboa', 'Benfica', -9.183099, 38.73104, 'beavcarreira')"
"(18, 'Evernia prunastri', 3985884898, 2022.0, 11.0, 25.0, 'ES', 'Andalucía', 'Córdoba', 'n.a. (88)', -4.81427, 37.930106, 'davidfdz_b82')","(22, 'Evernia prunastri', 3058841982, 2021.0, 3.0, 5.0, 'ES', 'Comunidad de Madrid', 'Madrid', 'n.a. (177)', -3.467093, 40.427843, 'ARBA del Henares')","(31, 'Evernia prunastri', 3994284779, 2022.0, 12.0, 8.0, 'ES', 'Comunidad Foral de Navarra', 'Navarra', 'n.a. (188)', -2.116278, 42.846037, 'Perfidus')","(38, 'Evernia prunastri', 2465301799, 2019.0, 11.0, 20.0, 'ES', 'Andalucía', 'Córdoba', 'n.a. (86)', -4.313532, 38.254965, 'Ángel Fernández Cancio')","(64, 'Evernia prunastri', 3456897159, 2021.0, 12.0, 26.0, 'ES', 'Castilla-La Mancha', 'Guadalajara', 'n.a. (122)', -3.089278, 40.690836, 'Sergio López Castelo')","(90, 'Evernia prunastri', 4096917727, 2023.0, 4.0, 25.0, 'ES', 'Castilla-La Mancha', 'Guadalajara', 'n.a. (122)', -2.927114, 40.550272, 'gabi_03')","(97, 'Evernia prunastri', 3455667007, 2021.0, 9.0, 24.0, 'ES', 'Comunidad de Madrid', 'Madrid', 'n.a. (177)', -3.749158, 40.493088, 'Ángel Fernández Cancio')","(165, 'Evernia prunastri', 2465378001, 2019.0, 12.0, 2.0, 'ES', 'Comunidad de Madrid', 'Madrid', 'n.a. (177)', -3.744805, 40.49419, 'Ángel Fernández Cancio')","(180, 'Evernia prunastri', 3859614096, 2022.0, 6.0, 22.0, 'PT', 'Leiria', 'Batalha', 'São Mamede', -8.696425, 39.579753, 'Josué Orfão')","(207, 'Evernia prunastri', 3456410824, 2022.0, 1.0, 7.0, 'ES', 'Castilla y León', 'Zamora', 'n.a. (270)', -6.004014, 41.867092, 'Alexandre Justo')","(242, 'Evernia prunastri', 1990543706, 2015.0, 7.0, 3.0, 'ES', 'Islas Canarias', 'Las Palmas', 'n.a. (144)', -15.531772, 27.959444, 'Daniel Suárez')","(271, 'Evernia prunastri', 2988664028, 2020.0, 11.0, 12.0, 'ES', 'Comunidad de Madrid', 'Madrid', 'n.a. (177)', -3.679987, 40.531303, 'Ángel Fernández Cancio')"
"(7, 'Xanthoria parietina', 4018096384, 2020.0, 9.0, 14.0, 'PT', 'Faro', 'Loulé', 'Almansil', -8.01475, 37.022103, 'Ester Serrao')","(17, 'Xanthoria parietina', 3764121265, 2021.0, 12.0, 31.0, 'ES', 'Extremadura', 'Badajoz', 'n.a. (48)', -6.027444, 38.038349, 'HFJ Wildlife')","(21, 'Xanthoria parietina', 4022071370, 2018.0, 11.0, 18.0, 'ES', 'Comunidad de Madrid', 'Madrid', 'n.a. (177)', -3.710208, 40.47902, 'Ángel Fernández Cancio')","(23, 'Xanthoria parietina', 4022026379, 2020.0, 11.0, 29.0, 'ES', 'Comunidad de Madrid', 'Madrid', 'n.a. (179)', -3.817317, 40.725158, 'Angel')","(62, 'Xanthoria parietina', 3456988300, 2022.0, 1.0, 2.0, 'ES', 'Comunidad de Madrid', 'Madrid', 'n.a. (180)', -3.599872, 40.019303, 'Sergio Chozas')","(88, 'Xanthoria parietina', 3343829217, 2021.0, 8.0, 16.0, 'PT', 'Lisboa', 'Lisboa', 'Nossa Senhora De Fátima', -9.155542, 38.737004, 'valentinacaradonna')","(102, 'Xanthoria parietina', 4067285782, 2023.0, 2.0, 27.0, 'ES', 'Comunidad de Madrid', 'Madrid', 'n.a. (177)', -3.596243, 40.388153, 'Ángel Fernández Cancio')","(106, 'Xanthoria parietina', 4138419434, 2023.0, 6.0, 7.0, 'ES', 'Cataluña', 'Girona', 'n.a. (105)', 2.88564, 42.193063, 'Jacobo Krauel')","(118, 'Xanthoria parietina', 3384828465, 2021.0, 9.0, 11.0, 'PT', 'Lisboa', 'Oeiras', 'Carnaxide', -9.227121, 38.726715, 'guif')","(130, 'Xanthoria parietina', 3802587201, 2022.0, 5.0, 24.0, 'ES', 'Principado de Asturias', 'Asturias', 'Oviedo', -5.860111, 43.351291, 'Carlos Gómez Rodríguez')","(134, 'Xanthoria parietina', 2898508094, 2020.0, 10.0, 13.0, 'ES', 'Comunidad de Madrid', 'Madrid', 'n.a. (177)', -3.679602, 40.531067, 'Ángel Fernández Cancio')","(150, 'Xanthoria parietina', 2235537150, 2015.0, 6.0, 20.0, 'PT', 'Leiria', 'Peniche', 'Peniche (São Pedro)', -9.506092, 39.414543, 'Duarte Frade')","(203, 'Xanthoria parietina', 1914327864, 2018.0, 9.0, 29.0, 'PT', 'Setúbal', 'Setúbal', 'Gâmbia-Pontes-Alto Da Guerra', -8.805893, 38.528947, 'guif')","(220, 'Xanthoria parietina', 4028816512, 2021.0, 4.0, 7.0, 'ES', 'Comunidad de Madrid', 'Madrid', 'n.a. (175)', -3.640247, 40.690355, 'Ángel Fernández Cancio')","(249, 'Xanthoria parietina', 4062816419, 2022.0, 2.0, 15.0, 'PT', 'Aveiro', 'Ílhavo', 'Ílhavo (São Salvador)', -8.660942, 40.599577, 'rx119lol')","(253, 'Xanthoria parietina', 2465377661, 2019.0, 11.0, 29.0, 'ES', 'Comunidad de Madrid', 'Madrid', 'n.a. (179)', -4.084148, 40.7101, 'Ángel Fernández Cancio')","(270, 'Xanthoria parietina', 1948786550, 2012.0, 8.0, 4.0, 'ES', 'Extremadura', 'Badajoz', 'n.a. (48)', -6.081493, 38.011148, 'HFJ Wildlife')","(309, 'Xanthoria parietina', 2244246473, 2019.0, 5.0, 18.0, 'PT', 'Portalegre', 'Avis', 'Maranhão', -8.018773, 39.005424, 'David Pereira')"
